email, priority, justification
germany-c_all_documents_1432, 4, "This email is an informative update about a new travel and medical emergency assistance program, with no immediate action required."
germany-c_all_documents_1883, 4, "The email is informing about the sender's unavailability and provides alternative contact information, but no immediate action is required."
germany-c_all_documents_2530, 2, "The email mentions a deadline of 4:30 p.m. for turning in a contract number, making it a time-sensitive issue."
germany-c_bankrupt_tall_dominion_15, 1, "The subject line contains the word 'Urgent' and the sender plans to call again in an hour, indicating immediate action is required."
germany-c_bankrupt_transport_el_paso_3, 1, "The email mentions 'URGENT' in the subject and discusses a time-sensitive issue related to a meeting on the same day."
germany-c_ces_109, 4, "This is an out-of-office notification with no immediate action required."
germany-c_discussion_threads_1548, 3, "This email is about routine business inquiries and updates on ongoing projects."
germany-c_discussion_threads_258, 2, "The email mentions a deadline of 4:30 p.m. for turning in a contract number, indicating a time-sensitive issue."
germany-c_pending_4, 4, "This email is an informative update about a new travel and medical emergency assistance provider, with no immediate action required."
germany-c_sent_1202, 4, "This email is a casual out-of-office notification with no immediate action required."
germany-c_sent_1565, 2, "The email mentions a deadline of 4:30 p.m. for turning in a contract number, making it time-sensitive."
germany-c_systems_30, 3, "This email provides information about emergency contact numbers and a web-based system, but does not indicate an urgent issue or immediate action required."
gilbertsmith-d_deleted_items_26, 3, "This email contains routine updates on system availability and scheduled outages, with no explicit urgency."
gilbertsmith-d_inbox_19, 3, "The email discusses rescheduling a conference call and provides options, but does not indicate an urgent need for immediate action."
giron-d_deleted_items_60, 3, "This email provides information about weekend system outages and their impacts, but does not require immediate action or response."
griffith-j_all_documents_210, 1, "The email contains the word 'Urgent' in the subject and discusses a move request that needs to be addressed promptly."
griffith-j_all_documents_223, 1, "The email contains explicit mentions of urgency and requires immediate action for John Griffith to begin trading."
griffith-j_all_documents_236, 2, "The email discusses a delay in the shipment of monitor arms and provides an updated arrival time, requiring a timely response."
griffith-j_deleted_items_128, 3, "This email contains routine updates on system availability and scheduled outages, with no indication of urgency."
griffith-j_discussion_threads_187, 1, "The email subject and content mention 'Urgent' and request immediate action for a move."
griffith-j_discussion_threads_193, 1, "The email is discussing an urgent move request and requires immediate action."
griffith-j_discussion_threads_205, 1, "The email contains the word 'URGENT' and discusses an immediate need for approval."
griffith-j_discussion_threads_218, 2, "The email discusses a delay in the shipment of monitor arms and provides an updated arrival time, requiring a timely response."
griffith-j_move_3, 1, "The email contains an urgent move request and requires immediate action."
griffith-j_move_9, 2, "The email discusses a delay in the shipment of monitor arms, which may impact ongoing operations and requires a timely response."
grigsby-m_deleted_items_162, 2, "The email discusses phone interviews that need to be conducted, and the sender asks if they should call the candidates today."
grigsby-m_deleted_items_186, 1, "This email discusses an immediate crisis and requires immediate action to prevent the spread of a virus."
grigsby-m_sent_items_101, 2, "The email discusses a candidate for a job position and asks for a quick look and feedback, indicating a timely response is needed."
guzman-m_all_documents_1550, 1, "The email contains an urgent notification and requires immediate action to submit schedules before a specific time."
guzman-m_discussion_threads_1215, 4, "This email contains general information about Total Transfer Capabilities and is not time-sensitive."
guzman-m_discussion_threads_1252, 4, "This email is sharing general information about Total Transfer Capabilities and does not require immediate action."
guzman-m_discussion_threads_367, 1, "The email contains an urgent notification and requires immediate action to change the server."
guzman-m_discussion_threads_80, 2, "The email discusses benefits enrollment with a deadline of October 22, 2000, requiring action within a short time frame."
guzman-m_notes_inbox_1444, 1, "The email contains an urgent notification and requires immediate action to change the server and submit schedules before the specified time."
guzman-m_notes_inbox_652, 4, "This email is sharing general information about Total Transfer Capabilities and does not require immediate action."
haedicke-m_all_documents_1082, 3, "The email is about scheduling a meeting to discuss a monthly report, and the sender mentions that it is not too urgent."
haedicke-m_all_documents_1374, 1, "The email mentions a critical migration process with a deadline on the same day, and failure to act could result in significant delays and loss of information."
haedicke-m_all_documents_299, 1, "The email is marked as URGENT and discusses HR-related issues that need to be reviewed."
haedicke-m_deleted_items_78, 3, "The email is asking for comments on an agenda for a conference, but there is no explicit urgency or deadline mentioned."
haedicke-m_deleted_items_92, 4, "This is an out of office auto-reply, indicating no immediate response or action is required."
haedicke-m_inbox_245, 1, "The email discusses an immediate virus threat and requires immediate action to prevent further damage."
haedicke-m_inbox_593, 1, "The email mentions an urgent need to address a significant issue related to divestments and requires a response before the weekend."
haedicke-m_inbox_595, 2, "The email mentions a significant number of divestments and the need to sort out a waiver letter/procedure before the weekend, indicating a high priority and a same-day response."
haedicke-m_inbox_702, 1, "The email mentions that the transactions are very urgent and may raise cash, and the sender requests a call to discuss any questions."
haedicke-m_notes_inbox_5, 1, "The email mentions a critical migration process and potential loss of information if not addressed immediately."
haedicke-m_sent_252, 1, "The email is marked as URGENT and discusses HR-related issues that need to be reviewed."
haedicke-m_sent_660, 1, "The email is marked as urgent and discusses the need for additional legal resources."
hain-m_all_documents_1209, 4, "This email provides general information about a meeting and directs recipients to a website for more details."
hain-m_all_documents_1225, 3, "This email contains an update on SDG&E's actions and requests, but does not require immediate action or response."
hain-m_all_documents_545, 4, "This email is a casual update about a colleague's new job and contact information."
hain-m_all_documents_739, 3, "This email is an update on a change in operating procedures, but does not require immediate action or response."
hain-m_all_documents_922, 1, "The email is marked as urgent and requires immediate action to upgrade the browser before the implementation deadline."
hain-m_discussion_threads_120, 3, "This email contains an update on SDG&E's actions and requests, but does not require immediate action or response."
hain-m_discussion_threads_162, 1, "The email mentions an urgent issue and a deadline of 1/19, requiring immediate action and response."
hain-m_discussion_threads_164, 1, "The email mentions an urgent issue with a deadline of 1/19 and requires an immediate response."
hain-m_discussion_threads_165, 1, "The email mentions an emergency and requires a response ASAP, with a deadline of 1/19."
hain-m_discussion_threads_739, 4, "This email is a casual update about a colleague's new job and contact information, with no immediate action required."
hain-m_notes_inbox_628, 3, "This email is an update on a change in the ISO's operating procedures, but does not require immediate action or response."
hain-m_notes_inbox_778, 1, "The email is marked as urgent and requires immediate action to upgrade the browser before the implementation deadline."
hain-m_notes_inbox_798, 3, "This email is an update on new or revised operating procedures and provides a link for reference, but does not require immediate action."
hain-m__sent_mail_259, 1, "The email mentions an urgent issue with a deadline of 1/19 and requests an immediate response."
hain-m__sent_mail_305, 4, "This email provides general information about a meeting and directs to a website for more details."
hain-m__sent_mail_321, 3, "This email contains an update on SDG&E's actions and requests, but does not require immediate action or response."
harris-s_deleted_items_481, 2, "The email requests an urgent purchase of a Blackberry device and charger for Steve Harris, implying a need for a quick response."
hayslett-r_deleted_items_39, 1, "The subject line contains 'URGENT' and the email mentions a document awaiting signature."
hayslett-r_sent_items_381, 1, "The subject line contains the word 'URGENT' and the email is about taking immediate action."
hayslett-r_sent_items_73, 2, "The email mentions an 'emergency meeting' and asks for information about it."
heard-m_deleted_items_157, 2, "The email is marked as high importance and requests urgent assistance in obtaining specific documents."
heard-m_deleted_items_164, 1, "This email warns of an immediate threat of a virus circulating within the company's email system and requires immediate action to prevent potential harm."
heard-m_deleted_items_193, 4, "This is an out of office auto-reply, indicating no immediate response or action is required."
heard-m_inbox_309, 4, "This is an out of office auto-reply, indicating no immediate response or action is required."
hernandez-j_all_documents_305, 4, "This email is a casual joke and does not require immediate attention or response."
hernandez-j_discussion_threads_634, 4, "This email is a casual check-in and request for prayers, with no immediate action required."
hernandez-j_notes_inbox_70, 4, "This email is a casual check-in and request for prayers, with no immediate action required."
hodge-j_all_documents_260, 3, "Routine business inquiry and follow-up on previous discussions, no explicit urgency mentioned."
hodge-j_deleted_items_439, 2, "The email discusses the need for resolutions and actions related to selling a business and addressing smaller issues, with a sense of urgency."
hodge-j_inbox_13, 3, "This email contains routine updates on system availability and outages for the weekend, with no explicit urgency."
hodge-j_inbox_59, 1, "The email mentions an immediate threat of a virus circulating within the company's messaging environment and requires immediate action to delete the infected email."
hodge-j_notes_inbox_19, 3, "This email is a follow-up on a previous discussion and does not indicate an urgent deadline or immediate action required."
hodge-j_sent_22, 3, "Routine business inquiry and follow-up on previous discussions."
holst-k_inbox_61, 1, "This email discusses an immediate crisis and potential negative consequences if not addressed promptly."
holst-k_sent_items_8, 4, "The email is a casual response to a previous email about work hours, and does not require immediate action."
horton-s_inbox_26, 3, "This email contains information for a discussion with Kevin regarding EBS interest in service from EAMR, but there is no explicit urgency or deadline mentioned."
hyatt-k_deleted_items_387, 2, "The email discusses an upcoming outage for Outlook Web Access, which may impact users' ability to access their email."
hyvl-d_all_documents_1176, 1, "The email contains phrases like 'Urgent Request' and 'ASAP', indicating immediate action is required."
hyvl-d_miscellaneous_credit_44, 1, "The email contains phrases like 'Urgent Request' and 'ASAP', indicating immediate action is required."
jones-t_all_documents_10548, 4, "This is an out of office auto-reply, which is informative and does not require immediate action."
jones-t_all_documents_11184, 4, "This email is a casual update on a colleague's absence and does not require immediate action."
jones-t_all_documents_11357, 4, "This email is a casual notification about Jane McBride being out of the office and provides an alternative contact in case of urgency."
jones-t_all_documents_120, 1, "The email subject contains 'URGENT & IMPORTANT' and discusses a time-sensitive application."
jones-t_all_documents_2134, 3, "The email contains important dates and information about invoice processing, but it is not urgent or requiring immediate action."
jones-t_all_documents_2180, 1, "The email mentions a deadline for voting on the NYMEX demutualization plan, which is due tomorrow, making it an urgent matter."
jones-t_all_documents_2762, 4, "This email is a casual notification about the sender being out of the office and provides contact information in case of emergency."
jones-t_all_documents_2765, 3, "This email is discussing access to a database, but there is no mention of urgency or immediate deadlines."
jones-t_all_documents_3280, 2, "The email mentions an upcoming visit and the need for urgent review, implying a timely response is needed."
jones-t_all_documents_3281, 2, "The email mentions an urgent review and an upcoming visit from the CIO of Eastman."
jones-t_all_documents_3295, 2, "The email mentions an urgent review and an upcoming visit from the CIO of Eastman, indicating a need for a timely response."
jones-t_all_documents_3715, 4, "This email is a casual notification about the sender being out of office and does not require immediate action."
jones-t_all_documents_4215, 4, "The email is a request for information and the sender explicitly mentions it is not really urgent."
jones-t_all_documents_4216, 4, "The email is a casual inquiry about a company's trading status and is explicitly mentioned as 'not really urgent'."
jones-t_all_documents_4367, 2, "The email mentions that the issue is becoming quite urgent and requires assistance."
jones-t_all_documents_4370, 3, "The email discusses a routine business inquiry and does not mention any explicit urgency or deadline."
jones-t_all_documents_4866, 4, "The email is a casual notification about the sender leaving early and being available for urgent issues."
jones-t_all_documents_5101, 4, "This email is a casual update about a colleague's absence and provides contact information in case of emergency."
jones-t_all_documents_515, 1, "The email mentions the need for immediate action (ASAP) and is related to an ongoing project."
jones-t_all_documents_516, 1, "The subject line contains the word 'URGENT' and the email thanks the recipient for their prompt help."
jones-t_all_documents_5186, 4, "This email is a casual update about a colleague being out ill and provides contact information for urgent matters."
jones-t_all_documents_527, 1, "The email mentions urgent counterparty profiles and requires immediate action for financial trading."
jones-t_all_documents_5421, 1, "The email subject and content mention 'IMPORTANT AND URGENT', indicating immediate action is required."
jones-t_all_documents_5683, 4, "This email is a casual notification about the sender's absence and provides an alternative contact for urgent questions."
jones-t_all_documents_5684, 4, "This email is a casual notification about the sender being out of the office and provides an alternative contact for urgent questions."
jones-t_all_documents_574, 1, "The email mentions the need for immediate action and has 'URGENT' in the subject line."
jones-t_all_documents_5747, 4, "The email is informing about the sender's absence and provides an alternative contact for urgent matters."
jones-t_all_documents_9065, 2, "The email mentions an urgent need for access to the terms for a call tomorrow at 10am London time."
jones-t_all_documents_9067, 1, "The email contains explicit mentions of immediate action and significant confirmation problems."
jones-t_all_documents_9308, 2, "The email mentions a deadline of Friday for sign-offs and indicates pressure from higher-ups."
jones-t_all_documents_9311, 3, "The email is a follow-up on a previous discussion and requests thoughts on the matter, but there is no explicit urgency or deadline mentioned."
jones-t_deleted_items_28, 1, "The email announces an emergency maintenance for the Exchange server, which will impact email access and requires immediate attention."
jones-t_inbox_59, 2, "The email is marked as high importance and requests urgent assistance in obtaining ISDA documents."
jones-t_inbox_67, 1, "This email discusses an immediate crisis and potential negative consequences if not addressed promptly."
jones-t_notes_inbox_1258, 4, "This email is an out-of-office notification with no immediate action required."
jones-t_notes_inbox_1308, 4, "This email is an out-of-office notification with no immediate action required."
jones-t_notes_inbox_1324, 2, "The email mentions an upcoming visit and the need for urgent review, implying a timely response is needed."
jones-t_notes_inbox_1588, 4, "This email is a casual notification about the sender being out of office and does not require immediate action."
jones-t_notes_inbox_2312, 4, "The email is a casual update about the sender's availability and does not require immediate action."
jones-t_notes_inbox_2508, 4, "This email is a casual update about a colleague being out ill and provides contact information for urgent matters."
jones-t_notes_inbox_2632, 1, "The email mentions an urgent need for specific documents related to a prepay originating from London that closes tomorrow, requiring immediate action."
jones-t_notes_inbox_2634, 1, "The email subject and content mention 'IMPORTANT AND URGENT', indicating immediate action is required."
jones-t_notes_inbox_2816, 4, "The email is a casual out-of-office reminder and provides contact information for urgent matters."
jones-t_notes_inbox_2846, 4, "The email is informing about the sender's absence and provides an alternative contact for urgent matters."
jones-t_notes_inbox_2947, 4, "This email is a casual update about Brent's availability and does not require immediate action."
jones-t_notes_inbox_3811, 4, "This is an out of office auto-reply, indicating no immediate response or action is required."
jones-t_notes_inbox_94, 4, "The email is an out-of-office notification with no immediate action required."
jones-t_sent_112, 1, "The subject line contains 'URGENT!!' and the email is asking about a group meeting that might be happening today."
jones-t_sent_122, 4, "The email is discussing a casual topic and does not require immediate attention."
jones-t_sent_1413, 4, "This email is informing about Karen Lambert being out of the office and provides an alternative contact for urgent requests."
jones-t_sent_1522, 3, "This email is a follow-up on a previous discussion about granting access to a database, but there is no mention of urgency or immediate action required."
jones-t_sent_1716, 2, "The email mentions an upcoming visit and the need for an urgent review of a Nondisclosure Agreement."
jones-t_sent_2079, 2, "The email mentions that the issue is becoming quite urgent and requires assistance."
jones-t_sent_2080, 2, "The email mentions that the issue is becoming quite urgent and requires assistance."
jones-t_sent_2558, 4, "The email is a casual notification about the sender being out of the office and provides an alternative contact for urgent questions."
jones-t_sent_500, 1, "The email mentions the need for immediate action (ASAP) and is related to an urgent work task."
jones-t_sent_501, 1, "The subject line contains the word 'URGENT' and the email thanks the recipient for their prompt help."
jones-t_sent_508, 1, "The email mentions urgent counterparty profiles and requires immediate action for financial trading."
jones-t_sent_5597, 4, "This email is a casual invitation for a social event."
kaminski-v_all_documents_10151, 1, "The email is marked as URGENT and contains an imminent meeting scheduled for the next day."
kaminski-v_all_documents_10598, 4, "This email is a casual update on the policy regarding personal days and does not require immediate action."
kaminski-v_all_documents_10607, 4, "This email is about a policy update regarding personal days, which is informative but not urgent."
kaminski-v_all_documents_10737, 1, "The email mentions needing the Rupee/US$ forward curve urgently for a deal and asks for it to be sent ASAP."
kaminski-v_all_documents_11117, 2, "The email mentions that the issue is quite urgent and requests information ASAP."
kaminski-v_all_documents_2030, 2, "The email mentions an urgent deadline (RSVP by Jan 22nd) for a conference and requests forwarding the information to other group members."
kaminski-v_all_documents_2109, 3, "This email is a follow-up on a previous discussion and contains updates on ongoing projects, but no urgent deadlines or immediate actions are mentioned."
kaminski-v_all_documents_3290, 4, "This email is a casual invitation to a dinner and does not require an immediate response."
kaminski-v_all_documents_3807, 2, "The email discusses ongoing projects and requires help in setting priorities."
kaminski-v_all_documents_4244, 3, "The email discusses rescheduling a meeting and mentions that the content is informal and not urgent."
kaminski-v_all_documents_4245, 4, "The email mentions that the meeting is informal and not urgent, and can be rescheduled for later or even after the recipient returns."
kaminski-v_all_documents_4330, 3, "This email is a progress update on ongoing projects and does not require immediate action."
kaminski-v_all_documents_4464, 2, "The email mentions mandatory workshops and requires team members to select a date and time to attend."
kaminski-v_all_documents_4629, 1, "The email explicitly mentions that the request is very urgent."
kaminski-v_all_documents_6321, 1, "The email mentions 'urgent' and has an imminent deadline for the PRC meeting."
kaminski-v_all_documents_6322, 1, "The email mentions 'urgent' and has an imminent deadline (3pm GMT/9am for the recipient)."
kaminski-v_all_documents_6323, 1, "The email mentions an imminent deadline (3pm GMT) and requires immediate action (PRC feedback) before the meeting."
kaminski-v_all_documents_9426, 1, "The email mentions an urgent request and asks for immediate processing."
kaminski-v_all_documents_9517, 3, "The email discusses ongoing projects and potential meetings, but there is no explicit urgency or deadline mentioned."
kaminski-v_all_documents_9603, 2, "The email requires confirmation of participation in a conference and may need changes in the program."
kaminski-v_c_mangmt_group_management_307, 4, "The email mentions that the meeting is informal and not urgent, and can be rescheduled for later or even after the recipient returns."
kaminski-v_c_mangmt_group_management_681, 4, "This email is a casual update about Tanya's vacation and does not require immediate action."
kaminski-v_c_mangmt_group_management_712, 4, "This email is about a policy update regarding personal days, which is informative but not urgent."
kaminski-v_c_mangmt_group_software_management_346, 2, "The email mentions a high priority request and is urgent."
kaminski-v_c_technote_mail_projects_111, 3, "This email is a follow-up on a previous discussion and contains updates on ongoing projects, but no urgent deadlines are mentioned."
kaminski-v_c_technote_mail_projects_227, 2, "The email discusses ongoing projects and requires help in setting priorities, suggesting a timely response is needed."
kaminski-v_c_technote_mail_projects_234, 4, "The email mentions a task to be done but explicitly states that it is not urgent."
kaminski-v_c_technote_mail_projects_250, 3, "This email provides a progress update on various projects and tasks, but does not require immediate action or response."
kaminski-v_c_technote_mail_projects_514, 1, "The email mentions needing the information urgently for a deal and provides a phone number for immediate contact."
kaminski-v_deleted_items_1287, 4, "This email is an informative update on the OPEC meeting and does not require immediate action."
kaminski-v_deleted_items_2135, 1, "The email mentions an absolute urgency and a specific deadline (close of business on Monday 15th October) for the required information."
kaminski-v_deleted_items_2345, 2, "The email mentions a conflict and a need to discuss in person, suggesting a timely response is needed."
kaminski-v_discussion_threads_291, 4, "This email is an informative update about a new program and does not require immediate action."
kaminski-v_discussion_threads_5450, 3, "The email discusses ongoing projects and potential meetings, but there is no explicit urgency or deadline mentioned."
kaminski-v_discussion_threads_5515, 2, "The email mentions an urgent request and requires approval or rejection."
kaminski-v_discussion_threads_5547, 2, "The email mentions a high priority request and is urgent."
kaminski-v_discussion_threads_771, 1, "The email explicitly mentions that the request is very urgent."
kaminski-v_discussion_threads_7720, 1, "The email mentions an urgent need for PRC feedback and an imminent meeting at 3pm GMT (9am for the recipient)."
kaminski-v_discussion_threads_886, 2, "The email mentions mandatory workshops and requires team members to attend, but the sessions are spread over a period of time."
kaminski-v_notes_inbox_192, 1, "The email mentions an urgent need for PRC feedback and a specific meeting time, requiring immediate action."
kaminski-v_resumes_726, 3, "The email discusses ongoing projects and potential meetings, but there is no explicit urgency or deadline mentioned."
kaminski-v_risk_17, 2, "The email mentions a deadline for printing the brochure and the need to confirm the content for the sessions."
kaminski-v_sent_1466, 1, "The email mentions 'urgent' and has a specific deadline for the PRC meeting."
kaminski-v_sent_2146, 1, "The email explicitly mentions that the request is very urgent."
kaminski-v_sent_4547, 4, "This email is a casual confirmation of a policy update and does not require immediate action or response."
kaminski-v_sent_items_1175, 3, "This email is discussing a potential candidate for a job position and arranging an interview, but there is no explicit urgency or deadline mentioned."
kaminski-v_sent_items_259, 1, "The email is about an urgent virus alert and requires immediate action to prevent potential harm to the system."
kaminski-v_sent_items_982, 4, "The email is informing about a change in contact information and does not require immediate action."
kaminski-v_sent_items_983, 4, "This email is a non-urgent update about the sender's new contact information."
kaminski-v__sent_mail_1467, 1, "The email mentions 'urgent' and has an imminent deadline for the PRC meeting."
kaminski-v__sent_mail_1547, 4, "This email is a casual check-in regarding a dinner invitation."
kaminski-v__sent_mail_1674, 2, "The email mentions a fairly urgent need for review of the copper curve and a deal due for final pricing in the next few days."
kaminski-v__sent_mail_1819, 4, "The email asks for a summary report but mentions that it is not urgent."
kaminski-v__sent_mail_1956, 3, "The email discusses rescheduling a meeting and mentions that the content is informal and not urgent."
kaminski-v__sent_mail_4375, 1, "The email is marked as URGENT and contains an imminent meeting scheduled for the next day."
kaminski-v__sent_mail_4548, 4, "This email is a casual confirmation of a policy update and does not require immediate action."
kaminski-v__sent_mail_993, 3, "This email is a follow-up on a previous discussion and provides updates on ongoing projects, but does not indicate an urgent need for action."
kaminski-v_ut_16, 2, "Mentions an approaching deadline (RSVP by Jan 22nd) and requires forwarding the email to relevant group members."
kean-s_all_documents_1248, 1, "The email is marked as URGENT and mentions mandatory attendance at workshops for critical information."
kean-s_all_documents_1654, 1, "The email mentions 'URGENT' and requires immediate review of a memo that needs to be sent out the same day."
kean-s_all_documents_1745, 1, "The email mentions an emergency motion and immediate action required for a cease and desist order."
kean-s_all_documents_1892, 4, "The email is about someone being out of the office and not requiring an immediate response."
kean-s_all_documents_2249, 4, "This email is about gift ideas for family members and does not require immediate attention."
kean-s_all_documents_4784, 1, "The email discusses an emergency authority memo and additional research on broader authority, indicating immediate action is required."
kean-s_all_documents_4802, 2, "The email discusses an analysis of emergency powers and asks for consideration of broader authorities, which may impact ongoing projects or operations."
kean-s_all_documents_5042, 3, "This email is about updating the Emergency call list and requesting corrections or additions before the end of the month."
kean-s_all_documents_5437, 1, "The email discusses emergency measures and has been sent to high-level executives, indicating immediate action is required."
kean-s_all_documents_5467, 4, "This email shares a quote and suggests using it in future discussions, but there is no immediate action or response required."
kean-s_all_documents_6126, 1, "The email subject mentions 'Urgent' and discusses the need for information related to a Senate hearing."
kean-s_all_documents_6330, 1, "The email discusses a Stage 3 emergency and potential payment issues, requiring immediate attention."
kean-s_all_documents_6381, 1, "This email is about an emergency call list and requires immediate attention to verify the information."
kean-s_all_documents_8712, 1, "The email mentions a critical migration process and potential loss of information if not addressed promptly."
kean-s_archiving_untitled_1079, 1, "The email mentions a mandatory workshop for all team members and has an urgent tone."
kean-s_archiving_untitled_119, 3, "This email is an FYI about a potential legal issue, but there is no explicit urgency or deadline mentioned."
kean-s_archiving_untitled_1362, 1, "The subject mentions 'emergency' and the email contains a revised memorandum, indicating immediate action is required."
kean-s_archiving_untitled_1369, 1, "The email mentions 'emergency' and 'show cause' order, indicating immediate action is required."
kean-s_archiving_untitled_1914, 1, "The email discusses a critical issue that affects multiple people and requires input from higher-ups to resolve the situation."
kean-s_archiving_untitled_1915, 2, "The email requests a review and comment ASAP, indicating a high priority but not an immediate emergency."
kean-s_archiving_untitled_4698, 4, "The email states that the discussion is not urgent and can be attended to when the recipient is back."
kean-s_archiving_untitled_5041, 3, "This email is about updating the Emergency call list and requesting corrections or additions before the end of the month."
kean-s_archiving_untitled_5466, 4, "This email shares a quote and suggests using it in future discussions, but there is no immediate action required or deadline mentioned."
kean-s_archiving_untitled_6329, 1, "The email discusses a Stage 3 emergency and potential payment issues, requiring immediate attention."
kean-s_archiving_untitled_6521, 3, "The email is a follow-up on a previous discussion about an external job fair and does not indicate an urgent response is needed."
kean-s_archiving_untitled_673, 1, "The email mentions 'URGENT' and indicates that the memo needs to be sent out today, requiring immediate action."
kean-s_archiving_untitled_78, 4, "This email is about gift ideas for family members and does not require immediate attention."
kean-s_attachments_1015, 1, "The email discusses an emergency authority memo and requires immediate attention."
kean-s_attachments_1221, 1, "The email is marked as urgent and confidential, indicating immediate action is required."
kean-s_attachments_1245, 1, "The subject mentions 'emergency' and the email contains a revised memorandum, indicating immediate action is required."
kean-s_attachments_1547, 3, "This email provides an update on the Lagos State project and discusses potential publicity, but does not require immediate action."
kean-s_attachments_1572, 4, "This email is an FYI and contains general information about a press release."
kean-s_attachments_1666, 1, "The email mentions a mandatory workshop for all team members and has an urgent label."
kean-s_attachments_1784, 3, "This email is a follow-up on a previous discussion and contains background information for the recipients."
kean-s_attachments_1793, 3, "This email contains routine updates on ongoing projects and does not indicate urgency."
kean-s_attachments_1829, 1, "The email mentions 'URGENT' and indicates that the memo needs to be sent out today, requiring immediate action."
kean-s_attachments_647, 1, "The email mentions an emergency motion and immediate action required for a cease and desist order."
kean-s_attachments_848, 1, "The email is about an emergency call-out list and requires immediate attention to verify the information."
kean-s_attachments_950, 3, "This email is a routine update on the Facility Emergency Call List and requests changes to be sent via separate email."
kean-s_attachments_980, 2, "The email discusses an analysis of emergency powers and authorities, which may impact ongoing projects or operations and requires timely input."
kean-s_calendar_untitled_1152, 3, "This email provides an update on a project and discusses potential publicity, but does not require immediate action or response."
kean-s_calendar_untitled_12768, 3, "This email is a routine update on the Facility Emergency Call List and requests review and changes."
kean-s_calendar_untitled_13062, 1, "The email mentions a critical migration process and potential loss of information if not addressed promptly."
kean-s_calendar_untitled_1655, 1, "The email mentions 'URGENT' and indicates that the memo needs to be sent out today, requiring immediate action."
kean-s_calendar_untitled_1927, 2, "The email discusses a rule change that will be presented for approval in an upcoming meeting, requiring input and discussion before the meeting."
kean-s_calendar_untitled_2203, 4, "This email is a forwarded FYI message with an attached press release, and no immediate response or action is required."
kean-s_calendar_untitled_2209, 3, "The email discusses a potential legal issue but does not indicate an immediate need for action or response."
kean-s_calendar_untitled_2222, 1, "The email mentions an emergency filing and is forwarded as important information."
kean-s_calendar_untitled_412, 1, "The email discusses an urgent and confidential matter that requires immediate input and direction from higher-ups."
kean-s_calendar_untitled_417, 1, "The email is marked as urgent and confidential, indicating immediate action is required."
kean-s_calendar_untitled_7034, 1, "The email discusses a Stage 3 emergency and potential payment issues, requiring immediate attention."
kean-s_calendar_untitled_7155, 3, "This email provides an electronic form of a DOE order, but there is no explicit urgency or deadline mentioned."
kean-s_calendar_untitled_8429, 4, "This email contains general information and attachments related to an energy briefing paper and timeline, with no urgent action required."
kean-s_calendar_untitled_959, 1, "The email mentions 'emergency' and 'show cause' order, indicating immediate action is required."
kean-s_california_252, 1, "The email discusses emergency measures and is related to ongoing negotiations."
kean-s_california_266, 4, "This email shares a quote and suggests using it in future discussions, but there is no immediate action required or deadline mentioned."
kean-s_california_88, 2, "The email contains a briefing paper and timeline for an energy emergency, and the sender provides a phone number for questions, indicating a need for a timely response."
kean-s_california_98, 4, "This email is an informative update with attached documents and no urgent action required."
kean-s_california___emergency_authority_1, 1, "The email discusses an emergency authority memo and requires immediate attention."
kean-s_canada_9, 2, "The email discusses a rule change that will be taken for approval in an upcoming meeting, requiring input and discussion before the meeting."
kean-s_contact_list_19, 3, "This email is a routine update on the Facility Emergency Call List and requests review and changes, but does not indicate urgency."
kean-s_contact_list_46, 3, "The email requests a review of the Emergency Call List and to send revisions, but does not mention an immediate deadline or urgency."
kean-s_contact_list_53, 1, "The email is about updating the Facilities Emergency Contact List, which is crucial for safety and requires immediate action."
kean-s_contact_list_54, 3, "This email is an update on the emergency call list and requests feedback on any changes, but does not indicate an urgent deadline."
kean-s_contact_list_9, 1, "This email is about an emergency call-out list and requires immediate attention to verify the information."
kean-s_deleted_items_409, 4, "This is an out of office auto-reply and does not require immediate attention."
kean-s_discussion_threads_1077, 1, "The email mentions a mandatory workshop for all team members and has an urgent label."
kean-s_discussion_threads_1410, 1, "The email mentions 'URGENT' and requires immediate review of a memo that needs to be sent out the same day."
kean-s_discussion_threads_1610, 4, "The email is about someone being out of the office and not requiring immediate action."
kean-s_discussion_threads_1826, 4, "This email is an FYI and contains general information about a press release."
kean-s_discussion_threads_2137, 3, "This email contains an electronic form of a DOE order, but there is no explicit urgency or deadline mentioned."
kean-s_discussion_threads_3240, 4, "This email contains general information and attachments related to an energy briefing paper and timeline, with no urgent action required."
kean-s_discussion_threads_3343, 2, "The email discusses emergency powers and authorities, requiring timely input and decision-making."
kean-s_discussion_threads_3443, 4, "The email states that the discussion is not urgent and can be attended to when the recipient is back."
kean-s_discussion_threads_369, 2, "The email requests a review and comment ASAP, indicating a high priority but not an immediate crisis."
kean-s_discussion_threads_370, 1, "The email discusses a critical issue that affects multiple people and requires input from higher-ups to resolve the situation."
kean-s_discussion_threads_5727, 3, "This email is providing background information and is not time-sensitive or urgent."
kean-s_discussion_threads_7248, 1, "The email mentions a critical migration process and potential loss of information if not addressed promptly."
kean-s_discussion_threads_833, 1, "The email mentions 'emergency' and 'show cause' order, indicating immediate action is required."
kean-s_discussion_threads_840, 3, "This email contains routine updates on ongoing projects and does not indicate urgency."
kean-s_discussion_threads_874, 4, "The email contains general information about the California power crisis and does not require immediate action."
kean-s_heat_wave_2, 4, "This email is a forwarded press release and does not require immediate action or response."
